degree,Major,major_entities,degree_entities,relationships
Bachelor of Landscare Architecture,Landscape Architecture,"[('Landscape Architecture', 'Major')]","[('Bachelor of Landscare Architecture', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Landscape Architecture', 'to_type': 'Degree', 'to_id': 'Bachelor of Landscare Architecture', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Architecture,"[('Architecture', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Architecture', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Industrial Design,"[('Industrial Design', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Industrial Design', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Chinese Language,"[('Chinese Language', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Chinese Language', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Chinese Studies,"[('Chinese Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Chinese Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,English Language and Linguistics,"[('English Language and Linguistics', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'English Language and Linguistics', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,English Literature,"[('English Literature', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'English Literature', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Global Studies,"[('Global Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Global Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,History,"[('History', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'History', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Japanese Studies,"[('Japanese Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Japanese Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Malay Studies,"[('Malay Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Malay Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Philosophy,"[('Philosophy', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Philosophy', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,South Asian Studies,"[('South Asian Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'South Asian Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Southeast Asian Studies,"[('Southeast Asian Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Southeast Asian Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Theatre and Performance Studies,"[('Theatre and Performance Studies', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Theatre and Performance Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Anthropology,"[('Anthropology', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Anthropology', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Communications and New Media,"[('Communications and New Media', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Communications and New Media', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Economics,"[('Economics', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Geography,"[('Geography', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Geography', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Political Science,"[('Political Science', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Political Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Psychology,"[('Psychology', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Psychology', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Social Work,"[('Social Work', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Social Work', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Sociology,"[('Sociology', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Sociology', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,"Philosophy, Politics and Economics","[('Philosophy', 'Major'), ('Politics and Economics', 'Major')]","[('Bachelor of Arts', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Philosophy', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}, {'from_type': 'Major', 'from_id': 'Politics and Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Environmental Studies,Environmental Studies,"[('Environmental Studies', 'Major')]","[('Bachelor of Environmental Studies', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Environmental Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Environmental Studies', 'type': 'IS_UNDER'}]"
Bachelor of Science,Data Science and Economics,"[('Data Science and Economics', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Data Science and Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Chemistry,"[('Chemistry', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Chemistry', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Data Science and Analytics,"[('Data Science and Analytics', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Data Science and Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Food Science and Technology,"[('Food Science and Technology', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Food Science and Technology', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Life Sciences,"[('Life Sciences', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Life Sciences', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Mathematics,"[('Mathematics', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Mathematics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Pharmaceutical Science,"[('Pharmaceutical Science', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Pharmaceutical Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Physics,"[('Physics', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Physics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Quantitative Finance,"[('Quantitative Finance', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Quantitative Finance', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Statistics,"[('Statistics', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Statistics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Nursing,"[('Nursing', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Nursing', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Nursing Practice,"[('Nursing Practice', 'Major')]","[('Bachelor of Science', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Nursing Practice', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Pharmacy,Pharmacy,"[('Pharmacy', 'Major')]","[('Bachelor of Pharmacy', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Pharmacy', 'to_type': 'Degree', 'to_id': 'Bachelor of Pharmacy', 'type': 'IS_UNDER'}]"
Bachelor of Law,Law,"[('Law', 'Major')]","[('Bachelor of Law', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Law', 'to_type': 'Degree', 'to_id': 'Bachelor of Law', 'type': 'IS_UNDER'}]"
Bachelor of Medicine and Bachelor of Surgery,Medicine,"[('Medicine', 'Major')]","[('Bachelor of Medicine and Bachelor of Surgery', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Medicine', 'to_type': 'Degree', 'to_id': 'Bachelor of Medicine and Bachelor of Surgery', 'type': 'IS_UNDER'}]"
