department_id,department,faculty,Department_entities,Faculty_entities
NUSDP0059,FoS Dean's Office,Science,"[(""FoS Dean's Office"", 'DEPARTMENT')]","[('Science', 'FACULTY')]"
NUSDP0060,Statistics and Data Science,Science,"[('Statistics and Data Science', 'DEPARTMENT')]","[('Science', 'FACULTY')]"
NUSDP0061,Raffles Hall,NUS,"[('Raffles Hall', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0062,Office of Student Affairs,NUS,"[('Office of Student Affairs', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0063,Eusoff Hall,NUS,"[('Eusoff Hall', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0064,NUS Centre for the Arts,NUS,"[('NUS Centre for the Arts', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0065,King Edward VII Hall,NUS,"[('King Edward VII Hall', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0066,Pioneer House,NUS,"[('Pioneer House', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0067,Temasek Hall,NUS,"[('Temasek Hall', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0068,NUS Information Technology,NUS,"[('NUS Information Technology', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0069,Temasek Defence Systems Inst,Temasek Defence Sys. Institute,"[('Temasek Defence Systems Inst', 'DEPARTMENT')]","[('Temasek Defence Sys. Institute', 'FACULTY')]"
NUSDP0070,Division of Graduate Dental Studies,Dentistry,"[('Division of Graduate Dental Studies', 'DEPARTMENT')]","[('Dentistry', 'FACULTY')]"
NUSDP0071,Mechanical Engineering,College of Design and Engineering,"[('Mechanical Engineering', 'DEPARTMENT')]","[('College of Design and Engineering', 'FACULTY')]"
NUSDP0072,Centre for Biomedical Ethics,Yong Loo Lin Sch of Medicine,"[('Centre for Biomedical Ethics', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0073,Engineering Science Programme,College of Design and Engineering,"[('Engineering Science Programme', 'DEPARTMENT')]","[('College of Design and Engineering', 'FACULTY')]"
NUSDP0074,NUS Enterprise Academy,NUS,"[('NUS Enterprise Academy', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0075,Industrial Systems Engineering and Management,College of Design and Engineering,"[('Industrial Systems Engineering and Management', 'DEPARTMENT')]","[('College of Design and Engineering', 'FACULTY')]"
NUSDP0076,Risk Management Institute,Risk Management Institute,"[('Risk Management Institute', 'DEPARTMENT')]","[('Risk Management Institute', 'FACULTY')]"
NUSDP0077,Asian Inst of Digital Finance,NUS,"[('Asian Inst of Digital Finance', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0078,NUS College Dean's Office,NUS College,"[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NUS College', 'FACULTY')]"
NUSDP0079,PharmacyandPharmaceuticalScience,Science,"[('PharmacyandPharmaceuticalScience', 'DEPARTMENT')]","[('Science', 'FACULTY')]"
NUSDP0080,Microbiology and Immunology,Yong Loo Lin Sch of Medicine,"[('Microbiology and Immunology', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0081,SSH School of Public Health Dean's Office,SSH School of Public Health,"[(""SSH School of Public Health Dean's Office"", 'DEPARTMENT')]","[('SSH School of Public Health', 'FACULTY')]"
NUSDP0082,NUS,NUS,"[('NUS', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0083,Biochemistry,Yong Loo Lin Sch of Medicine,"[('Biochemistry', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0084,Materials Science and Engineering,College of Design and Engineering,"[('Materials Science and Engineering', 'DEPARTMENT')]","[('College of Design and Engineering', 'FACULTY')]"
NUSDP0085,Pharmacology,Yong Loo Lin Sch of Medicine,"[('Pharmacology', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0086,Tembusu College,Residential College,"[('Tembusu College', 'DEPARTMENT')]","[('Residential College', 'FACULTY')]"
NUSDP0087,Residential College 4,Residential College,"[('Residential College 4', 'DEPARTMENT')]","[('Residential College', 'FACULTY')]"
NUSDP0088,Real Estate,NUS Business School,"[('Real Estate', 'DEPARTMENT')]","[('NUS Business School', 'FACULTY')]"
NUSDP0089,Duke-NUS Dean's Office,Duke-NUS Medical School,"[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('Duke-NUS Medical School', 'FACULTY')]"
NUSDP0090,Duke-NUS Medical School,Duke-NUS Medical School,"[('Duke-NUS Medical School', 'DEPARTMENT')]","[('Duke-NUS Medical School', 'FACULTY')]"
NUSDP0091,NUSGS Dean’s Office,NUS Graduate School,"[('NUSGS Dean’s Office', 'DEPARTMENT')]","[('NUS Graduate School', 'FACULTY')]"
NUSDP0092,Risk Management Institute,NUS,"[('Risk Management Institute', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0093,FoL Dean's Office,Law,"[(""FoL Dean's Office"", 'DEPARTMENT')]","[('Law', 'FACULTY')]"
NUSDP0094,Logistics Inst - Asia Pac,Logistics Inst-Asia Pac,"[('Logistics Inst - Asia Pac', 'DEPARTMENT')]","[('Logistics Inst-Asia Pac', 'FACULTY')]"
