Module Code,Faculty
AR5958D,College of Design and Engineering
AR5958E,College of Design and Engineering
AR5958F,College of Design and Engineering
AR5958G,College of Design and Engineering
AR5958H,College of Design and Engineering
AR5958I,College of Design and Engineering
AR5958J,College of Design and Engineering
AR5958K,College of Design and Engineering
AR5958L,College of Design and Engineering
AR5958M,College of Design and Engineering
AR5958N,College of Design and Engineering
AR5958O,College of Design and Engineering
AR5959,College of Design and Engineering
AR5959A,College of Design and Engineering
AR5959B,College of Design and Engineering
AR5959C,College of Design and Engineering
AR5959D,College of Design and Engineering
AR5959E,College of Design and Engineering
AR5959F,College of Design and Engineering
AR5959G,College of Design and Engineering
AR5959H,College of Design and Engineering
AR5959I,College of Design and Engineering
AR5959J,College of Design and Engineering
AR5959K,College of Design and Engineering
AR5959L,College of Design and Engineering
AR5959M,College of Design and Engineering
AR5959N,College of Design and Engineering
AR5959O,College of Design and Engineering
AR5995L,College of Design and Engineering
AR6770,College of Design and Engineering
ARD5001,College of Design and Engineering
ARD5002,College of Design and Engineering
ARD5003,College of Design and Engineering
ARD5004,College of Design and Engineering
ARD5005,College of Design and Engineering
ARD5006,College of Design and Engineering
ARD5007,College of Design and Engineering
ARD5008,College of Design and Engineering
ARD5009,College of Design and Engineering
ARD5010,College of Design and Engineering
ARD5011,College of Design and Engineering
ARD5012,College of Design and Engineering
ARD5013,College of Design and Engineering
ARD5014,College of Design and Engineering
ARD5015,College of Design and Engineering
AS4233,Arts and Social Science
AS4233HM,Arts and Social Science
ASP1201,Arts and Social Science
ASP1201CH,Arts and Social Science
ASP1201EC,Arts and Social Science
ASP1201EN,Arts and Social Science
ASP1201GE,Arts and Social Science
ASP1201HY,Arts and Social Science
ASP1201MS,Arts and Social Science
AUD5101,Yong Loo Lin Sch of Medicine
AUD5102,Yong Loo Lin Sch of Medicine
AUD5103,Yong Loo Lin Sch of Medicine
AUD5104,Yong Loo Lin Sch of Medicine
AUD5105,Yong Loo Lin Sch of Medicine
AUD5106,Yong Loo Lin Sch of Medicine
AUD5107,Yong Loo Lin Sch of Medicine
AUD5108,Yong Loo Lin Sch of Medicine
AUD5109,Yong Loo Lin Sch of Medicine
AUD5110,Yong Loo Lin Sch of Medicine
AUD5111,Yong Loo Lin Sch of Medicine
AUD5112,Yong Loo Lin Sch of Medicine
AUD5113,Yong Loo Lin Sch of Medicine
AUD5114,Yong Loo Lin Sch of Medicine
AUD5115,Yong Loo Lin Sch of Medicine
AUD5216,Yong Loo Lin Sch of Medicine
AUD5217,Yong Loo Lin Sch of Medicine
AUD5218,Yong Loo Lin Sch of Medicine
AUD5219,Yong Loo Lin Sch of Medicine
AUD5220,Yong Loo Lin Sch of Medicine
AUD5221,Yong Loo Lin Sch of Medicine
AUD5222,Yong Loo Lin Sch of Medicine
AUD5223,Yong Loo Lin Sch of Medicine
AUD5224,Yong Loo Lin Sch of Medicine
AX1821,Arts and Social Science
AX2723,Arts and Social Science
AX3722,Arts and Social Science
AX3723,Arts and Social Science
AX4811,Arts and Social Science
AX4821,Arts and Social Science
AY1111,Yong Loo Lin Sch of Medicine
AY1130,Yong Loo Lin Sch of Medicine
BAA6001,NUS Business School
BAA6001A,NUS Business School
BAA6001B,NUS Business School
BAA6002,NUS Business School
BAA6005,NUS Business School
BBB8100,Yong Loo Lin Sch of Medicine
BBP6781,NUS Business School
BBP6791,NUS Business School
BBP6794,NUS Business School
BCP4002B,NUS Business School
BDC6111,NUS Business School
BDC6112,NUS Business School
BDC6113,NUS Business School
BDC6114,NUS Business School
BDC6218,NUS Business School
BDC6219,NUS Business School
BDC6221,NUS Business School
BDC6228,NUS Business School
BDC6229,NUS Business School
BDC6248,NUS Business School
BDC6249,NUS Business School
BDC6301,NUS Business School
BDC6302,NUS Business School
BDC6303,NUS Business School
BDC6304,NUS Business School
BDC6305,NUS Business School
BDC6306,NUS Business School
BDC6307,NUS Business School
BDC6501,NUS Business School
BHD4001,NUS Business School
BHD4001C,NUS Business School
BI3000,NUS Business School
BI3001,NUS Business School
BI3001A,NUS Business School
BI3001B,NUS Business School
BI3001C,NUS Business School
BI3001D,NUS Business School
BI3001E,NUS Business School
BI3001F,NUS Business School
BI3001G,NUS Business School
BI3002,NUS Business School
BI3002A,NUS Business School
BI3002B,NUS Business School
BI3002C,NUS Business School
BI3002D,NUS Business School
BI3003,NUS Business School
BI3003A,NUS Business School
BI3003B,NUS Business School
BI3003C,NUS Business School
BI3003D,NUS Business School
BI3704,NUS Business School
BI3704A,NUS Business School
BI3704B,NUS Business School
BI3704C,NUS Business School
BI3704D,NUS Business School
BI3704R,NUS Business School
BI3708,NUS Business School
BI3708A,NUS Business School
BI3708B,NUS Business School
BI3708R,NUS Business School
BI3712,NUS Business School
BI3712A,NUS Business School
BI3712B,NUS Business School
BI3712R,NUS Business School
BIS3001,NUS Business School
BIS3001A,NUS Business School
BIS3751,NUS Business School
BIS5003,Yong Loo Lin Sch of Medicine
BL5102,Science
BL5198,Science
BL5199,Science
BL5201,Science
BL5202A,Science
BL5203,Science
BL5204,Science
BL5207A,Science
BL5209,Science
BL5210,Science
BL5212,Science
BL5213,Science
BL5214,Science
BL5215,Science
BL5216,Science
BL5217,Science
BL5218,Science
BL5219,Science
BL5220,Science
BL5221,Science
BL5222,Science
BL5223,Science
BL5224,Science
BL5225,Science
BL5226,Science
BL5227A,Science
BL5227B,Science
BL5228,Science
BL5229,Science
BL5230,Science
BL5231,Science
BL5232,Science
BL5232A,Science
BL5232B,Science
BL5232C,Science
BL5233,Science
BL5234,Science
BL5235,Science
BL5236,Science
BL5237,Science
BL5238,Science
BL5239,Science
BL5240,Science
BL5299,Science
BL5301,Science
BL5302,Science
BL5311,Science
BL5312,Science
BL5313,Science
BL5321,Science
BL5322,Science
BL5323,Science
BL5324,Science
BL5331,Science
BL5601,Science
BL5602,Science
BL5611,Science
BL5623,Science
BL5631,Science
BL5632,Science
BL5661,Science
BL5662,Science
BL5699,Science
BL5731,Science
BLD3001,NUS Business School
BLD3002,NUS Business School
BLD3003,NUS Business School
BLD3004,NUS Business School
BMA5001,NUS Business School
BMA5002,NUS Business School
BMA5002A,NUS Business School
BMA5003,NUS Business School
BMA5004A,NUS Business School
BMA5005,NUS Business School
BMA5008,NUS Business School
BMA5009,NUS Business School
BMA5010A,NUS Business School
BMA5011,NUS Business School
BMA5011A,NUS Business School
BMA5013,NUS Business School
BMA5014,NUS Business School
BMA5016,NUS Business School
BMA5016A,NUS Business School
BMA5017,NUS Business School
BMA5102,NUS Business School
BMA5102A,NUS Business School
BMA5104,NUS Business School
BMA5104A,NUS Business School
BMA5108,NUS Business School
BMA5112,NUS Business School
BMA5112A,NUS Business School
BMA5115,NUS Business School
BMA5115A,NUS Business School
BMA5118,NUS Business School
BMA5118A,NUS Business School
BMA5118B,NUS Business School
BMA5119,NUS Business School
BMA5120,NUS Business School
BMA5121,NUS Business School
BMA5122,NUS Business School
BMA5122A,NUS Business School
BMA5124,NUS Business School
BMA5125,NUS Business School
BMA5126,NUS Business School
BMA5127,NUS Business School
BMA5128,NUS Business School
BMA5128A,NUS Business School
BMA5129,NUS Business School
BMA5129A,NUS Business School
BMA5130,NUS Business School
BMA5131,NUS Business School
BMA5132,NUS Business School
BMA5132A,NUS Business School
BMA5133,NUS Business School
BMA5134,NUS Business School
BMA5134A,NUS Business School
BMA5135,NUS Business School
BMA5135A,NUS Business School
BMA5136,NUS Business School
BMA5137,NUS Business School
BMA5138,NUS Business School
BMA5232A,NUS Business School
BMA5236,NUS Business School
BMA5237,NUS Business School
BMA5237A,NUS Business School
BMA5255,NUS Business School
BMA5271,NUS Business School
BMA5271A,NUS Business School
BMA5274,NUS Business School
BMA5275,NUS Business School
BMA5276,NUS Business School
BMA5277,NUS Business School
BMA5278,NUS Business School
BMA5300B,NUS Business School
BMA5300C,NUS Business School
BMA5300D,NUS Business School
BMA5300E,NUS Business School
BMA5300F,NUS Business School
BMA5300I,NUS Business School
BMA5300J,NUS Business School
BMA5300K,NUS Business School
BMA5300L,NUS Business School
BMA5300M,NUS Business School
BMA5300X,NUS Business School
BMA5301,NUS Business School
BMA5302,NUS Business School
BMA5302A,NUS Business School
BMA5303,NUS Business School
BMA5307,NUS Business School
BMA5307A,NUS Business School
BMA5308,NUS Business School
BMA5309,NUS Business School
BMA5309A,NUS Business School
BMA5310,NUS Business School
BMA5312,NUS Business School
BMA5312A,NUS Business School
BMA5313,NUS Business School
BMA5313A,NUS Business School
BMA5313C,NUS Business School
BMA5313D,NUS Business School
BMA5313E,NUS Business School
BMA5314,NUS Business School
BMA5314A,NUS Business School
BMA5315A,NUS Business School
BMA5316A,NUS Business School
BMA5318,NUS Business School
BMA5318A,NUS Business School
BMA5319,NUS Business School
BMA5319A,NUS Business School
BMA5321,NUS Business School
BMA5321A,NUS Business School
BMA5322,NUS Business School
BMA5323,NUS Business School
BMA5324,NUS Business School
BMA5325,NUS Business School
BMA5326,NUS Business School
BMA5327,NUS Business School
BMA5328,NUS Business School
BMA5330,NUS Business School
BMA5331,NUS Business School
BMA5332,NUS Business School
BMA5333,NUS Business School
BMA5334,NUS Business School
BMA5334A,NUS Business School
BMA5335,NUS Business School
BMA5336,NUS Business School
BMA5337,NUS Business School
BMA5337A,NUS Business School
BMA5338,NUS Business School
BMA5400F,NUS Business School
BMA5400H,NUS Business School
BMA5400I,NUS Business School
BMA5400K,NUS Business School
BMA5400L,NUS Business School
BMA5400M,NUS Business School
BMA5400N,NUS Business School
BMA5400P,NUS Business School
BMA5404,NUS Business School
BMA5405,NUS Business School
BMA5405A,NUS Business School
BMA5406,NUS Business School
BMA5409A,NUS Business School
BMA5411,NUS Business School
BMA5411A,NUS Business School
BMA5412,NUS Business School
BMA5422,NUS Business School
BMA5423,NUS Business School
BMA5424,NUS Business School
BMA5425,NUS Business School
BMA5428,NUS Business School
BMA5429,NUS Business School
BMA5430,NUS Business School
BMA5431,NUS Business School
BMA5432,NUS Business School
BMA5432A,NUS Business School
BMA5433,NUS Business School
BMA5500B,NUS Business School
BMA5500D,NUS Business School
BMA5500E,NUS Business School
BMA5500F,NUS Business School
BMA5500G,NUS Business School
BMA5500H,NUS Business School
BMA5500N,NUS Business School
BMA5500O,NUS Business School
BMA5500X,NUS Business School
BMA5501,NUS Business School
BMA5502,NUS Business School
BMA5502A,NUS Business School
BMA5503,NUS Business School
BMA5503A,NUS Business School
BMA5504,NUS Business School
BMA5504A,NUS Business School
BMA5505,NUS Business School
BMA5506,NUS Business School
BMA5509,NUS Business School
BMA5511,NUS Business School
BMA5511A,NUS Business School
BMA5515,NUS Business School
BMA5517,NUS Business School
BMA5523,NUS Business School
BMA5523A,NUS Business School
BMA5524,NUS Business School
BMA5524A,NUS Business School
BMA5525,NUS Business School
BMA5526,NUS Business School
BMA5527,NUS Business School
BMA5527A,NUS Business School
BMA5528,NUS Business School
BMA5528A,NUS Business School
BMA5529,NUS Business School
BMA5529A,NUS Business School
BMA5530,NUS Business School
BMA5530A,NUS Business School
BMA5531,NUS Business School
BMA5531A,NUS Business School
BMA5532,NUS Business School
BMA5532A,NUS Business School
BMA5533,NUS Business School
BMA5533A,NUS Business School
BMA5534,NUS Business School
BMA5535,NUS Business School
BMA5536,NUS Business School
BMA5537,NUS Business School
BMA5537A,NUS Business School
BMA5537B,NUS Business School
BMA5538,NUS Business School
BMA5539,NUS Business School
BMA5701,NUS Business School
BMA5702,NUS Business School
BMA5801,NUS Business School
BMA5802,NUS Business School
BMA5802A,NUS Business School
BMA5802B,NUS Business School
BMA5802C,NUS Business School
BMA5802D,NUS Business School
BMA5803,NUS Business School
BMA5804,NUS Business School
BMA5805,NUS Business School
BMA5901,NUS Business School
BMA5902,NUS Business School
BMA5903,NUS Business School
BMA5904A,NUS Business School
BMA5905,NUS Business School
BMC5021,NUS Business School
BMC5022,NUS Business School
BMC5023,NUS Business School
BMC5024,NUS Business School
BMC5025,NUS Business School
BMC5026,NUS Business School
BMC5027,NUS Business School
BMC5028,NUS Business School
BMC5029,NUS Business School
BMC5030,NUS Business School
BMC5031,NUS Business School
BMC5032,NUS Business School
BMC5033,NUS Business School
BMC5034,NUS Business School
BMC5035,NUS Business School
BMC5035A,NUS Business School
BMC5035B,NUS Business School
BMC5035C,NUS Business School
BMC5035D,NUS Business School
BMC5035E,NUS Business School
BMC5035F,NUS Business School
BMC5035G,NUS Business School
BMC5035H,NUS Business School
BMC5035J,NUS Business School
BMC5035K,NUS Business School
BMC5035L,NUS Business School
BMC5035M,NUS Business School
BMC5035N,NUS Business School
BMC5036,NUS Business School
BMC5037,NUS Business School
BMC5038,NUS Business School
BMC5040,NUS Business School
BMC5116,NUS Business School
BMC5117,NUS Business School
BMC5118,NUS Business School
BMC5125,NUS Business School
BMC5130,NUS Business School
BMC5203,NUS Business School
BMC5305,NUS Business School
BMC5337,NUS Business School
BMC5411,NUS Business School
BMC5415,NUS Business School
BMC5501,NUS Business School
BMC5601,NUS Business School
BMC5707,NUS Business School
BMC5808,NUS Business School
BMC5810,NUS Business School
BMC5813,NUS Business School
BMC5814,NUS Business School
BMC5815,NUS Business School
BMC5834,NUS Business School
BMD5301,NUS Business School
BMD5302,NUS Business School
BME5014,NUS Business School
BME5016,NUS Business School
BME5020,NUS Business School
BME5021,NUS Business School
BME5022,NUS Business School
BME5040,NUS Business School
BME5041,NUS Business School
BME5042,NUS Business School
BME5043,NUS Business School
BME5044,NUS Business School
BME5045,NUS Business School
BME5046,NUS Business School
BME5047,NUS Business School
BME5049,NUS Business School
BME5050,NUS Business School
BME5051,NUS Business School
BME5052,NUS Business School
BME5053,NUS Business School
BME5054,NUS Business School
BME5055,NUS Business School
BME5056A,NUS Business School
BME5056B,NUS Business School
BME5057A,NUS Business School
BME5057B,NUS Business School
BME5058,NUS Business School
BME5101,NUS Business School
BME5102,NUS Business School
BME5103,NUS Business School
BME5104,NUS Business School
BME5105,NUS Business School
BME5106,NUS Business School
BME5107,NUS Business School
BME5201,NUS Business School
BME5301,NUS Business School
BME5401,NUS Business School
BME5402,NUS Business School
BME5501,NUS Business School
BMF5321,NUS Business School
BMF5322,NUS Business School
BMF5323,NUS Business School
BMF5324,NUS Business School
BMF5331,NUS Business School
BMF5332,NUS Business School
BMF5333,NUS Business School
BMF5334,NUS Business School
BMF5341A,NUS Business School
BMF5341B,NUS Business School
BMF5342,NUS Business School
BMF5343,NUS Business School
BMF5344,NUS Business School
BMF5345,NUS Business School
BMF5346,NUS Business School
BMF5351,NUS Business School
BMF5352,NUS Business School
BMF5353,NUS Business School
BMF5354,NUS Business School
BMF5355,NUS Business School
BMF5356,NUS Business School
BMF5357,NUS Business School
BMF5358,NUS Business School
BMF5359,NUS Business School
BMF5360,NUS Business School
BMF5361,NUS Business School
BMF5362,NUS Business School
BMF5391A,NUS Business School
BMF5391B,NUS Business School
BMF5391C,NUS Business School
BMF5392,NUS Business School
BMF5393A,NUS Business School
BMG5101,NUS Business School
BMG5102,NUS Business School
BMG5103,NUS Business School
BMG5104,NUS Business School
BMG5201,NUS Business School
BMG5202,NUS Business School
BMG5203,NUS Business School
BMG5204,NUS Business School
BMG5205,NUS Business School
BMG5206,NUS Business School
BMG5301,NUS Business School
BMG5302,NUS Business School
BMH5101,NUS Business School
BMH5102,NUS Business School
BMH5103,NUS Business School
BMH5104,NUS Business School
BMH5105,NUS Business School
BMH5106,NUS Business School
BMH5107,NUS Business School
BMH5108,NUS Business School
BMH5109,NUS Business School
BMH5110,NUS Business School
BMH5111,NUS Business School
BMH5112,NUS Business School
BMH5113,NUS Business School
BMH5301,NUS Business School
BMH5302,NUS Business School
BMH5303,NUS Business School
BMI1101,Yong Loo Lin Sch of Medicine
BMI2106,Yong Loo Lin Sch of Medicine
BMI2207,Yong Loo Lin Sch of Medicine
BMI2207C,Yong Loo Lin Sch of Medicine
BMI3101,Yong Loo Lin Sch of Medicine
BMI3102,Yong Loo Lin Sch of Medicine
BMI3306,Yong Loo Lin Sch of Medicine
BMI3308,Yong Loo Lin Sch of Medicine
BMI5101,Yong Loo Lin Sch of Medicine
BMI5102,Yong Loo Lin Sch of Medicine
BMI5106,Yong Loo Lin Sch of Medicine
BMI5107,Yong Loo Lin Sch of Medicine
BMI5108,Yong Loo Lin Sch of Medicine
BMI5109,Yong Loo Lin Sch of Medicine
BMI5110,Yong Loo Lin Sch of Medicine
BMI5111,Yong Loo Lin Sch of Medicine
BMI5201,Yong Loo Lin Sch of Medicine
BMI5206,Yong Loo Lin Sch of Medicine
BMI5207,Yong Loo Lin Sch of Medicine
BMI5300,Yong Loo Lin Sch of Medicine
BMI5306,Yong Loo Lin Sch of Medicine
BMK5002,NUS Business School
BMK5100,NUS Business School
BMK5101,NUS Business School
BMK5102,NUS Business School
BMK5103,NUS Business School
BMK5104,NUS Business School
BMK5200,NUS Business School
BMK5201,NUS Business School
BMK5202,NUS Business School
BMK5203,NUS Business School
BMK5204,NUS Business School
BMK5205,NUS Business School
BMK5206,NUS Business School
BMK5206A,NUS Business School
BMK5206B,NUS Business School
BMK5206C,NUS Business School
BMK5206D,NUS Business School
BMK5206E,NUS Business School
BMK5206F,NUS Business School
BMK5206G,NUS Business School
BMK5206H,NUS Business School
BMK5207,NUS Business School
BMK5208,NUS Business School
BMK5209,NUS Business School
BMK5300A,NUS Business School
BMK5300B,NUS Business School
BMK5300C,NUS Business School
BMK5300D,NUS Business School
BMK6105,NUS Business School
BMK6105K,NUS Business School
BMK6105L,NUS Business School
BMK6110,NUS Business School
